model,W,point_label,eps_nd,eps_d,mu_critical_input,rho_exact_strip,contacts_per_site_exact,directional_bonds_per_site_exact,s_total_exact_per_site,s_occupancy_conditional_per_site,s_internal_conditional_per_site,s_internal_exact_per_particle,s_internal_avgE_per_particle,s_internal_isolatedZ_per_particle,abs_error_avgE,abs_error_isolatedZ,closer_closure,critical_input_status,source
stick,3,high directional,0.907749349042405,2.6,4.438929708656842,0.46315103980160344,0.7513905602490181,0.4095631755139935,0.41838680262488886,0.3523823092360903,0.06600449338879799,0.14251181087075146,0.0,0.6931471805599453,0.14251181087075146,0.5506353696891938,avgE,logged MC critical-line point,results_logs/all_trace_coexist_stick.out
stick,4,high directional,0.907749349042405,2.6,4.438929708656842,0.40249902946297283,0.6401192465388722,0.3445318679886628,0.3856076731020954,0.3235874370244603,0.062020236077635404,0.1540879145979179,0.0,0.6931471805599453,0.1540879145979179,0.5390592659620274,avgE,logged MC critical-line point,results_logs/all_trace_coexist_stick.out
stick,3,high directional,0.784388800988156,3.0,4.540452889308368,0.551119257934341,0.9281140983065267,0.511684546930152,0.3780374267281014,0.3338741506524992,0.044163276075602186,0.08013379216892413,0.0,0.6931471805599453,0.08013379216892413,0.6130133883910212,avgE,logged MC critical-line point,results_logs/all_trace_coexist_stick.out
stick,4,high directional,0.784388800988156,3.0,4.540452889308368,0.5609568007105359,0.9620049582918669,0.5172401305088472,0.3412122849519048,0.29801800560159275,0.043194279350312004,0.07700107975444807,0.0,0.6931471805599453,0.07700107975444807,0.6161461008054973,avgE,logged MC critical-line point,results_logs/all_trace_coexist_stick.out
stick,3,high directional,0.566073425563976,4.0,5.108573651020729,0.5290952318367527,0.8813357958476408,0.5117130302455537,0.3048218750047038,0.2916050529548942,0.01321682204980982,0.024980043770055645,0.0,0.6931471805599453,0.024980043770055645,0.6681671367898896,avgE,logged MC critical-line point,results_logs/all_trace_coexist_stick.out
stick,4,high directional,0.566073425563976,4.0,5.108573651020729,0.5390379567120933,0.9199446888342203,0.5186290538146455,0.26043720110243207,0.24706759950565732,0.013369601596774972,0.02480270903059214,0.0,0.6931471805599453,0.02480270903059214,0.6683444715293532,avgE,logged MC critical-line point,results_logs/all_trace_coexist_stick.out
stick,3,high directional,0.505157675079953,5.0,6.017271743932018,0.4852924401046032,0.8000884590496523,0.47846342928714486,0.2550880088527269,0.25096581341639485,0.004122195436330818,0.00849425026164078,0.0,0.6931471805599453,0.00849425026164078,0.6846529302983045,avgE,logged MC critical-line point,results_logs/all_trace_coexist_stick.out
stick,4,high directional,0.505157675079953,5.0,6.017271743932018,0.4717659912577001,0.795125855770151,0.4634731935635742,0.2021202140897933,0.19787887594870246,0.004241338141090623,0.008990343135552156,0.0,0.6931471805599453,0.008990343135552156,0.6841568374243931,avgE,logged MC critical-line point,results_logs/all_trace_coexist_stick.out
stick,3,high directional,0.390833241320132,5.8,6.569384483107948,0.514174968832925,0.8442365209532164,0.5105867064667889,0.2437275460931995,0.24177976666381307,0.001947779429386583,0.0037881646277096205,0.0,0.6931471805599453,0.0037881646277096205,0.6893590159322357,avgE,logged MC critical-line point,results_logs/all_trace_coexist_stick.out
stick,4,high directional,0.390833241320132,5.8,6.569384483107948,0.5209841026065781,0.8777682107661041,0.516582349402768,0.18819590763857041,0.18623876456033822,0.0019571430782324706,0.0037566272530016333,0.0,0.6931471805599453,0.0037566272530016333,0.6893905533069437,avgE,logged MC critical-line point,results_logs/all_trace_coexist_stick.out
